,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Pancreas_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,BPlabel_encoded
0,280.0,407.27263999999997,-0.4145,1.15933,0.07200830000000001,0.08363910000000001,0.739279,74.0619,1.04186,10.09,0.37459499999999996,6.93692,0.011323399999999999,0.0179703,0.0,0.0,0.0,0.7714540959999999,3.9387234059915315e-15,3.63608214,0.534513,6.9814300000000005,-1.8374080000000002,0.548255,-2.09,1.2933649999999999,0.326554,0.274796,0.575179,0.582739,0.498882,1.7351740000000002,0.47000699999999995,0.801624,0.43794399999999994,1.731966,0.302197,0.7379760000000001,1.145373,0.405074,0.298729,0.715841,0.7582760000000001,0.924459,0.5599310000000001,-1.058049,3.160413,0.574311,3
1,56.0,117.11773000000001,0.4561,16.1667,4.15827,8.69046,4.51777,2.3750299999999998,0.506314,1.27613,2.63463,1.91818,16.5493,0.0393093,0.884429274,0.0,0.0,0.670620084,0.0007005429023646,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.9729959999999999,-0.31759499999999996,0.250539,-0.478721,-0.469268,-0.619337,0.364388,0.50041,-0.48191300000000004,0.314485,0.556739,-1.363194,0.163588,0.9379209999999999,-1.6628919999999998,-0.707662,-3.589953,0.667657,0.334298,-0.370917,-0.21693800000000002,0.429516,0.36031199999999997,1
2,1.0,1512.78445,0.1916469999999999,28.0647779,33.6538309,15.552563349999998,31.745286899999996,31.01674699999998,47.912686600000036,14.571312500000007,33.10520000000001,14.926701899999996,63.13590099999997,40.467563760000026,0.02294126453,0.0,0.0,0.5769771453200003,0.2743047539014042,4.366702911000002,-0.02391777000000001,8.044593699999998,-0.056641949999999976,0.02591156999999997,-0.13849999999999998,0.08834439,0.0005997300000000043,0.05177825999999998,0.02358011000000001,0.06295684000000003,-0.009235049999999993,-0.05679154,0.059574609999999986,0.09346735999999993,-0.09206554,-0.0031836900000000003,0.043610060000000006,0.03230586999999999,-0.01156966,0.11556578000000005,0.03025125,0.00337612,-0.009702079999999988,0.015108390000000006,-0.02689120999999997,0.000595089999999997,-0.17588553999999995,-0.04827722999999999,4
3,357.0,12.38694,-0.43799999999999994,49.1104065,42.318943000000026,19.38737972,40.789572999999976,43.70398200000002,59.87118489999998,17.289910099999997,40.34022510000001,21.2337109,53.224494699999994,51.50223900000001,0.025016276800000004,0.0,0.0,0.6906392471799994,0.6448555021751626,5.8264780549,-0.025469190000000003,8.84313045,-0.020587519999999988,0.025161849999999982,-0.24669999999999995,0.05828297,0.03691215,0.0015012000000000005,-0.011698930000000005,0.025444039999999987,-0.05672381000000001,-0.07566362000000003,-0.0556313,-0.03168286,-0.10232160999999998,-0.041568479999999984,0.0003813199999999958,0.010128180000000002,-0.01702246000000001,0.09862534999999996,-0.004131099999999985,-0.003998019999999991,-0.025330289999999974,0.03086811,0.021991670000000005,-0.020562229999999987,0.01759162,-0.10225961,4
4,24.0,1095.2409699999998,0.6259,49.310537700000005,37.1316979,18.331067299999994,35.91452699999999,46.632323,51.48386170000001,16.736572300000006,38.2649433,18.4384837,62.48663759999997,44.20064906000002,0.010284807640000001,0.0,0.0,0.6656866572099999,0.5054651485272444,5.297249548099997,-0.004458219999999999,7.669543849999997,-0.01190109,0.029378569999999986,-0.22009999999999996,-0.04657638000000002,-0.02478351,0.01720638000000001,0.002715960000000002,0.060460810000000025,-0.05960889,-0.06771625,0.04606898000000001,0.02129634000000001,-0.09005280999999997,-0.032871189999999995,0.042175100000000014,0.01214717,0.003096010000000001,0.06222081999999995,0.03936038,-0.002411379999999998,-0.027896029999999974,-0.13863022,0.00020991000000000382,-0.05521812999999998,0.03722860000000002,-0.04968982,4
5,966.0,332.05359,0.4141,26.572987800000003,30.72636973,16.57728355,32.650492499999984,30.431105499999994,48.01451040000002,14.060220400000008,34.96635900000002,17.298402399999997,65.3263039,45.335136300000016,0.03526139858,0.0,0.015733088699999998,0.63098273918,0.5808209709814726,4.4424520589,0.014859459999999991,7.966614400000001,-0.13290836000000006,0.006033710000000005,-0.36019923900000017,0.06491850999999996,0.06430289000000003,0.010553750000000004,-0.10608555,0.02431855,-0.04514140000000001,-0.08518802999999997,0.022662390000000004,0.02901466,-0.11242974999999994,-0.04267763,0.04609856,0.0017649899999999969,-0.003563749999999999,0.07092365999999997,0.01857604000000001,-0.043067349999999976,-0.040597599999999984,0.015086699999999991,0.027203360000000013,-0.06612125,0.04547373,-0.08608467000000003,4
6,162.0,371.98567,-0.2965,21.393300799999988,29.459674900000003,14.09574045,30.325025699999987,29.318095500000002,45.51376520000001,13.599307800000007,29.42471500000001,14.4692987,45.76085360000001,41.57264900000001,0.012972972020000001,0.0,0.0,0.6420794817999999,0.4753984927169371,5.086230382700001,-0.026593549999999997,8.479373949999994,-0.05024239,0.016440809999999976,-0.28319847799999986,0.03565367,0.04034321000000001,-0.00015447999999999864,-0.005793160000000002,0.05930240000000001,-0.035210279999999976,-0.08227754000000001,-0.03606098,-0.011743509999999995,-0.10941763999999994,-0.04306595999999999,0.038271910000000006,9.779999999999776e-05,0.0015062200000000026,0.09083704999999996,0.02685461000000001,-0.032899299999999965,-0.01627112999999999,0.03222202,0.0213121,-0.0022268400000000008,0.05644504999999999,-0.07805317000000002,4
7,290.0,0.61257,-0.2878,64.42215250000005,49.67143100000002,27.54199567000001,46.22521399999999,60.75883399999999,66.4453673,20.3526531,53.381221,27.0387903,64.15665209999999,62.52616950000003,0.0749061208,0.0,0.07354927131,0.6896629196899997,0.6213191079757349,6.966142484400001,-0.04476979,12.7035,-0.057772089999999984,-0.3315969100000002,-0.4103,-0.06480374000000001,-0.3963417800000002,-0.11371397999999998,-1.1862043599999996,-0.3783300399999999,-0.13048472999999994,-0.09521108000000003,-0.12814822000000006,-1.5087651000000002,-0.9219713499999994,-0.055639989999999966,-0.07424021000000001,-0.031115920000000005,-0.07173724999999999,-0.23923358,-0.3892335000000003,0.08412344000000001,-0.02707770999999999,-0.07918578999999998,-0.10885735000000006,-0.044891459999999966,0.016334459999999967,-0.4253598200000001,4
8,104.0,1535.52979,-0.3792,38.3358985,35.01238990000001,16.323084029999997,34.92627919999997,41.510631,51.614176,15.80476750000001,33.53733500000001,19.753375399999992,53.44347899999999,52.97618150000003,0.01866277338,0.0,0.0258999539,0.6486959318599999,0.5294041482454347,5.8169098892000015,-0.043575909999999975,12.0118,-0.04656468999999998,0.052161829999999985,-0.04540000000000002,0.07710547,-0.09400867,-0.03434398,0.13010663999999994,-0.1169481,-0.05235271000000001,-0.11166810999999996,-0.04461271,-0.2687506400000001,-0.30534429999999985,-0.02446677,-0.007852179999999999,-0.00030451999999999736,-0.0014637100000000028,-0.11094758999999997,-0.23936012,-0.0006814200000000004,-0.031771489999999986,-0.022665740000000004,-0.016946439999999997,-0.01874293,-4.590999999998888e-05,-0.09738259,4
9,6.0,2.95899,-0.3115,52.04524700000002,46.35816740000002,22.353630890000005,42.50028449999998,55.770866000000005,68.29272230000001,19.298125,43.1127631,20.354291399999994,67.66244599999996,60.9723565,0.052178617440000005,0.0,0.0,0.6544427394499995,0.5649736575175015,6.783184850499997,-0.04486445999999999,7.97421,-0.05395421,-0.01465748999999999,-0.34630000000000005,0.03538143999999998,-0.2445314600000001,-0.03404652000000001,-0.05760109999999999,-0.13205140999999995,-0.03858038,-0.07074577,-0.08058737999999996,-0.1881702399999998,-0.8454993799999998,-0.07405627,-0.039349150000000006,0.005104269999999997,-0.030844200000000013,0.012388280000000012,-0.23725986999999996,-0.010944470000000012,-0.07898752,-0.03019095000000001,-0.03538966999999997,-0.005627010000000004,-0.05151230000000002,-0.5163621100000001,4
